,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed,Date
367,college,64.8569,-147.8028,65,39.2,20,8.05,1619424574
368,umtata,-31.5889,28.7844,38,73.4,0,5.75,1619424842
369,lewistown,40.5992,-77.5714,72,37.99,10,1.01,1619424842
370,ouallam,14.3188,2.0866,27,94.19,49,17.25,1619424843
371,baltasi,56.3462,50.2062,47,45.72,15,26.04,1619424843
372,hohhot,40.8106,111.6522,23,57.2,20,22.37,1619424843
373,kushiro,42.975,144.3747,38,41.0,75,12.66,1619424844
374,port shepstone,-30.7414,30.455,38,73.02,100,3.22,1619424758
375,virginia beach,36.8529,-75.978,71,51.8,1,4.61,1619424844
376,victoria,22.2855,114.1577,77,77.0,100,5.01,1619424186
377,emerald,-23.5333,148.1667,20,82.4,0,9.22,1619424845
378,savinka,50.0785,47.0994,38,52.61,100,5.68,1619424845
379,atar,20.5169,-13.0499,22,76.59,5,9.04,1619424374
380,kathmandu,27.7167,85.3167,26,84.2,20,10.36,1619424664
381,concordia,-31.393,-58.0209,92,52.0,0,3.0,1619424662
382,inuvik,68.3499,-133.7218,85,12.2,53,6.91,1619424846
383,haines junction,60.7522,-137.5108,60,33.8,0,1.14,1619424404
384,puerto del rosario,28.5004,-13.8627,68,69.8,20,9.22,1619424847
385,yeppoon,-23.1333,150.7333,53,73.4,0,4.61,1619424847
386,itarema,-2.9248,-39.9167,86,74.39,12,7.87,1619424496
387,prince rupert,54.3161,-130.3201,76,51.8,1,4.61,1619424809
388,ryotsu,38.0833,138.4333,53,50.0,40,11.5,1619424848
389,kailua,21.4022,-157.7394,64,75.2,40,10.36,1619424484
390,bonavista,48.6499,-53.1147,86,37.99,100,1.14,1619424848
391,gravdal,68.1214,13.5031,75,37.4,75,4.61,1619424849
392,skelleftea,64.7507,20.9528,51,33.8,0,12.66,1619424771
393,villarrobledo,39.2699,-2.6012,96,51.01,100,1.99,1619424849
394,higueron,18.5833,-99.1667,51,77.0,98,2.01,1619424850
